Year,Brand,Model,Mileage,Engine Size,Fuel Type,Transmission,Price
2005,2,20,25961,5.4,1,2,21184.79
2010,1,18,255812,4.4,4,2,11693.84
2019,2,1,1779,3.0,4,2,40233.06
2020,3,11,155578,3.2,3,1,25309.02
2004,1,18,197892,3.7,4,2,5000.0
2006,1,7,132821,5.4,2,2,8188.88
2021,1,7,293127,5.5,3,1,18425.1
2022,1,17,25191,1.4,2,1,15696.44
2009,4,4,2314,2.1,1,1,13893.97
2008,2,1,217224,4.8,2,1,14969.7
2020,2,19,163230,2.7,2,2,26048.24
2021,1,17,47320,5.3,4,1,30082.46
2004,4,8,87876,2.8,3,2,10945.54
2023,2,1,232093,2.4,2,2,22133.37
2022,1,17,42376,4.4,1,2,23970.05
2020,3,11,74319,2.1,4,2,21939.88
2009,4,8,171264,4.7,4,1,13802.17
2002,4,6,262698,5.1,4,2,5000.0
2015,5,3,296288,5.6,4,1,24958.1
2023,3,13,155902,1.2,1,2,12113.01
2012,1,7,112132,1.9,1,1,6208.06
2022,4,6,219654,1.6,2,2,15890.43
2001,5,3,231716,3.8,2,2,9279.26
2002,1,18,189196,3.5,1,1,5000.0
2012,2,19,263777,2.6,2,2,14744.66
2022,5,3,43244,6.0,2,2,39749.15
2012,4,4,104356,3.9,4,2,20918.25
2006,2,20,95361,1.2,2,1,8511.12
2018,2,1,148105,3.9,4,2,27836.13
2007,3,16,127874,2.1,2,1,5000.0
2021,3,12,25086,5.8,3,1,34282.5
2007,5,14,167270,3.2,4,2,13060.16
2005,5,3,15470,6.0,1,1,26229.73
2007,5,5,125854,3.4,3,1,17571.69
2013,3,16,155589,3.7,3,1,17535.66
2003,2,19,66627,2.6,4,1,10904.0
2000,5,14,163315,5.6,4,1,14935.84
2003,4,6,115924,1.1,1,1,5000.0
2017,2,20,63938,3.5,2,2,26648.55
2000,3,12,46903,3.7,1,1,5000.0
2018,3,11,18550,4.1,3,2,29448.18
2002,2,20,97938,4.3,4,2,15061.08
2008,1,18,186453,2.1,2,2,5000.0
2006,4,4,220760,2.9,2,1,5000.0
2005,1,17,184794,4.1,1,1,5000.0
2009,4,4,168106,1.2,1,2,5000.0
2002,5,14,278132,1.5,3,1,5000.0
2011,5,14,2734,3.4,3,2,34369.54
2023,4,15,116585,3.7,2,1,23091.05
2001,3,16,213145,3.6,4,1,5000.0
2010,4,4,188569,5.8,1,1,7833.12
2002,3,16,18855,1.0,4,1,5000.0
2002,5,3,131441,1.4,3,1,7506.54
2006,3,16,19332,3.1,4,1,9136.15
2019,1,7,201829,1.7,2,1,5000.0
2018,1,7,215432,3.6,4,1,15723.9
2006,1,7,21162,4.2,3,2,17863.14
2023,1,18,249560,4.1,2,1,11403.53
2013,5,3,95695,1.5,4,2,25272.45
2022,1,7,23608,1.8,2,1,21594.33
2012,4,4,183266,3.0,4,1,5027.78
2003,1,7,244752,5.2,4,2,5030.78
2022,5,3,257240,3.8,1,1,21425.44
2005,4,15,16103,1.2,3,1,13062.98
2009,5,14,12766,5.1,2,2,26422.6
2022,4,6,111613,2.9,2,1,19635.41
2010,4,6,86715,3.9,4,2,13754.88
2002,4,4,130856,3.7,1,1,5000.0
2017,3,12,159489,3.7,1,1,8775.98
2003,4,6,240122,4.1,4,2,5000.0
2015,5,3,293705,5.5,4,1,20043.17
2015,1,7,291878,1.6,4,2,8326.88
2000,3,13,56256,5.9,1,1,5000.0
2010,2,2,242291,1.1,2,2,5000.0
2023,4,15,131966,4.1,1,2,23120.05
2000,5,3,279103,5.2,2,1,7820.89
2005,3,12,61660,2.5,2,1,5863.74
2004,2,1,61545,3.3,1,2,14471.63
2003,4,8,111443,3.3,1,1,5000.0
2008,4,4,1630,2.5,2,1,8473.76
2019,3,12,81355,3.1,3,2,29212.17
2020,5,14,270252,2.1,1,1,22103.67
2023,4,8,16689,3.6,3,2,32447.41
2008,2,20,218760,3.7,2,2,14919.1
2005,1,17,104617,3.3,2,2,9365.04
2022,5,14,161042,5.4,2,1,30171.46
2009,1,17,90639,6.0,2,2,10947.64
2008,3,12,147233,5.4,4,1,12621.66
2012,3,13,222858,3.0,4,2,5732.36
2019,3,11,174590,2.1,1,2,8996.95
2014,2,2,101140,1.6,1,2,23196.25
2009,1,17,135650,5.9,1,2,11197.48
2009,5,3,284177,1.4,1,1,6449.46
2020,2,19,168537,3.6,4,1,27609.58
2013,3,16,149509,3.5,3,2,17542.83
2005,4,8,98132,2.2,4,1,5000.0
2000,4,6,660,5.6,3,1,15783.04
2016,1,18,104569,5.2,2,2,23269.03
2021,2,19,155870,4.0,4,1,27539.64
2016,2,1,67017,4.2,2,1,31991.28
2000,5,3,153168,3.5,4,2,11200.27
2021,5,3,108065,4.1,4,1,35494.21
2021,3,16,216759,3.5,4,1,18666.2
2003,5,10,75445,4.6,2,1,16904.61
2008,2,2,131324,3.6,1,2,13325.17
2018,2,20,265442,3.6,1,1,16039.67
2010,2,19,258776,1.1,2,1,6056.66
2000,4,15,161402,2.5,4,1,5000.0
2019,5,3,242442,2.2,1,1,18844.44
2007,1,9,207133,3.0,3,1,8319.0
2023,1,18,128839,4.3,3,1,24796.83
2020,4,4,107766,5.7,2,2,20803.59
2006,1,17,246923,5.2,1,2,5000.0
2007,5,10,4981,4.7,3,1,24818.61
2005,4,15,219982,5.6,4,1,5000.0
2022,1,17,266373,2.9,4,2,13999.4
2023,1,7,249020,4.0,2,1,16890.82
2011,5,10,160140,5.9,3,2,29705.48
2019,1,17,96478,2.5,4,1,16984.84
2019,4,4,193824,3.0,1,1,16325.88
2013,1,9,69567,4.0,1,1,16559.11
2013,1,18,294284,2.9,3,2,7637.39
2000,3,13,234156,1.9,1,2,5000.0
2009,4,4,113399,3.2,2,2,11361.92
2009,3,12,81619,2.9,1,2,14113.8
2013,1,18,297996,2.0,2,1,5000.0
2005,1,17,35303,3.4,1,1,8785.67
2010,4,15,121230,1.4,1,2,6768.9
2021,1,18,174037,4.5,3,1,18701.69
2006,1,18,168372,3.4,3,1,7309.86
2018,3,12,239714,2.0,3,1,7775.44
2008,2,1,64900,5.7,1,1,23068.2
2015,4,4,129111,4.8,3,1,20232.03
2020,2,1,248429,1.3,4,1,23300.43
2011,5,3,290259,5.8,2,1,12553.76
2018,4,15,236676,1.2,2,1,5074.18
2017,4,4,176587,3.6,3,2,23821.46
2000,1,17,217732,1.4,3,2,5000.0
2000,2,1,134731,4.9,4,1,17791.75
2007,5,14,151698,5.8,2,1,13556.14
2000,1,18,235097,5.9,4,1,5000.0
2001,3,16,258243,3.1,3,1,5000.0
2014,3,12,187565,2.5,4,1,5685.98
2016,2,20,221988,5.5,2,2,27920.78
2017,4,15,55836,1.1,2,1,17627.68
2019,5,14,40061,3.2,4,2,36795.46
2016,1,7,289541,3.9,2,2,5737.93
2012,3,12,64868,2.4,4,2,16696.2
2009,3,12,282005,1.5,2,2,5000.0
2020,3,16,27437,3.8,2,1,27082.41
2011,2,19,232679,5.1,4,2,26390.88
2000,4,4,34095,1.6,3,2,5000.0
2012,4,4,41114,5.1,3,1,24639.45
2020,5,10,64130,3.9,4,2,31874.88
2000,1,17,274091,2.5,1,2,5000.0
2002,1,17,136682,3.1,2,1,5000.0
2000,5,3,58027,1.9,4,2,9314.15
2013,5,10,175658,2.7,3,2,21390.09
2006,2,19,151549,1.4,4,2,11236.56
2022,5,10,284757,4.5,1,2,22083.76
2001,5,5,69984,5.4,1,2,19958.53
2000,4,8,55098,5.5,4,1,6325.85
2010,5,14,109470,4.5,4,1,27805.35
2008,4,6,91447,2.2,3,1,7585.08
2021,2,2,238019,5.0,1,1,28067.51
2018,1,7,92009,3.1,2,1,15306.72
2000,1,18,34768,1.2,4,1,5000.0
2004,4,15,259424,4.4,2,2,5000.0
2011,2,19,228833,2.4,3,1,12245.47
2011,3,11,251079,4.0,1,1,5000.0
2022,3,12,292673,2.4,3,2,18929.19
2006,2,20,200503,4.9,4,1,13535.82
2018,1,7,252524,4.7,2,2,11209.82
2001,4,4,15431,2.3,1,1,5000.0
2009,3,12,53836,5.6,2,2,15450.91
2007,2,20,135268,2.7,1,2,17376.65
2003,3,12,146344,5.2,2,2,5000.0
2006,5,3,1502,2.3,3,2,28892.64
2019,1,9,114487,1.9,1,1,15198.48
2020,4,15,273749,4.3,4,1,19306.3
2008,3,12,288523,1.2,3,2,5000.0
2019,5,5,214859,1.2,3,2,20514.28
2022,5,10,249029,1.7,1,2,18651.58
2005,5,14,152303,5.1,2,2,20935.01
2008,4,8,223469,2.6,1,2,5000.0
2023,2,2,134864,2.1,1,1,25846.4
2008,1,18,87384,3.5,3,2,15275.67
2012,4,6,107878,5.5,3,2,20097.01
2021,5,14,28007,4.3,1,2,33386.3
2002,4,6,290457,5.8,1,1,5000.0
2020,2,2,68731,5.0,3,1,40002.9
2011,1,17,248197,2.0,1,2,5000.0
2011,5,5,108169,1.6,2,1,17649.89
2004,3,12,273874,1.4,3,2,5000.0
2017,2,1,211298,3.2,2,1,16819.05
2010,4,4,250856,4.5,2,1,5000.0
2019,4,8,69635,5.2,4,1,23179.07
2006,1,18,213212,1.2,3,1,5000.0
2016,4,6,298788,1.0,1,1,5000.0
2008,2,20,92336,3.4,1,2,18243.26
2016,4,4,268761,1.5,3,1,5118.03
2010,1,9,148478,2.3,3,2,7708.83
2004,3,12,173952,3.8,1,2,6899.87
2021,3,16,294702,1.1,3,2,12196.73
2007,4,8,163935,4.3,3,1,8130.17
2013,3,11,242246,2.8,3,1,5000.0
2016,3,12,241054,5.5,4,1,14526.32
2010,4,4,220780,5.5,1,2,5000.0
2000,2,1,11721,1.2,4,2,16017.25
2002,4,6,114333,4.8,4,1,5000.0
2019,1,17,21614,3.8,3,2,26837.86
2015,3,16,121228,5.4,4,2,18985.19
2013,3,13,251541,4.7,2,2,5000.0
2003,2,2,43927,2.2,2,2,14368.1
2004,2,20,299291,2.2,1,2,5000.0
2010,5,10,265715,5.8,3,1,18955.66
2015,1,18,296620,3.9,3,1,12742.83
2021,2,20,115211,3.7,2,1,24841.0
2000,5,10,107847,5.5,4,1,17275.89
2001,5,10,84772,2.2,3,2,14462.19
2007,4,15,181683,4.6,2,2,8712.89
2002,2,19,143386,3.7,4,2,13965.73
2000,4,15,36183,3.8,1,1,5000.0
2023,5,10,277916,4.4,2,1,21709.7
2015,5,14,23107,5.3,4,1,30751.53
2012,1,18,279247,1.6,4,2,5000.0
2014,2,2,171769,2.5,3,1,21372.98
2015,3,12,271000,5.3,4,2,18232.92
2022,5,14,149788,4.9,3,1,31698.22
2017,2,19,10696,2.4,4,2,32338.22
2005,3,16,42255,3.1,4,2,6360.63
2011,3,16,91164,3.4,3,2,16036.94
2019,3,16,37205,2.5,4,2,22143.89
2013,4,6,158814,4.9,4,1,17151.81
2022,4,15,49539,5.2,4,1,31350.99
2012,5,10,282516,2.3,2,1,10115.97
2012,5,10,282906,4.8,4,1,21834.33
2021,2,2,196072,4.9,3,2,37503.29
2005,1,17,263705,4.0,1,2,5000.0
2010,1,17,18936,3.1,3,2,15130.16
2003,2,19,284567,3.8,4,1,5000.0
2005,2,19,190950,4.1,2,1,11188.04
2022,1,17,94134,3.9,1,1,19692.48
2011,4,15,49161,4.2,4,1,12233.15
2002,3,11,103334,3.8,1,2,7494.51
2022,5,14,254346,3.1,3,1,24632.71
2014,3,12,126562,1.1,2,2,9493.3
2007,1,9,93985,4.9,4,2,12204.41
2012,2,19,16309,3.3,2,2,31168.44
2011,1,17,230475,3.6,2,2,5000.0
2009,1,17,105587,4.3,2,1,7494.53
2012,1,17,74069,1.6,2,2,13205.61
2015,5,14,217934,4.3,3,2,24916.07
2019,2,19,136985,2.1,4,2,24171.5
2000,5,14,141712,3.9,4,2,12436.67
2022,4,6,177272,6.0,1,2,27721.09
2001,2,20,295142,2.2,4,1,5000.0
2013,1,7,142079,2.1,3,2,16508.38
2016,1,18,201347,3.0,2,2,12497.44
2018,2,1,142981,6.0,2,1,26834.39
2003,2,1,102882,3.3,3,2,22993.98
2020,3,11,11134,3.7,2,1,23988.85
2022,1,18,56815,4.4,2,2,31467.49
2005,4,8,166347,5.3,1,2,10687.83
2009,5,5,64168,5.9,1,2,26504.68
2019,1,17,204256,4.2,1,2,13255.15
2017,1,17,233364,1.6,4,2,6848.0
2009,2,1,181210,1.5,3,1,15822.46
2001,1,7,134377,2.8,1,2,5000.0
2017,4,4,111054,1.5,4,1,18799.39
2001,2,20,7175,3.2,2,2,13527.15
2008,4,8,165857,3.9,2,1,8904.39
2016,5,10,277529,5.6,4,2,25184.45
2006,1,18,299281,2.6,4,1,5000.0
2004,3,12,129583,5.2,4,1,5000.0
2016,5,14,209387,3.8,2,2,25741.48
2015,2,1,152739,1.8,3,1,24561.02
2012,2,1,77001,1.2,1,2,16025.77
2008,3,12,211886,4.3,4,2,12751.82
2005,3,16,263161,4.0,1,2,5000.0
2002,3,13,70578,4.7,2,1,5000.0
2005,4,6,255673,1.7,2,1,5000.0
2016,3,16,184932,5.1,1,2,19109.11
2011,4,15,89660,5.7,1,2,12186.58
2008,5,14,47668,3.7,1,2,22784.31
2013,4,4,39605,2.2,1,2,17042.52
2019,2,19,222954,3.9,2,1,25342.05
2017,3,13,87115,3.7,3,1,26172.32
2017,2,2,230949,2.5,2,2,22282.27
2013,4,4,202445,2.9,3,2,16181.97
2001,1,9,245025,1.4,2,1,5000.0
2020,4,6,103457,5.4,2,2,28605.53
2009,5,14,257171,5.1,2,1,11954.04
2012,4,6,15657,2.4,3,2,17014.87
2021,4,6,114174,3.0,1,1,16566.71
2012,3,12,37532,3.3,4,1,13008.42
2010,1,18,107884,4.9,4,1,17458.03
2021,1,17,107609,4.8,3,1,30823.92
2000,4,4,296237,4.3,2,1,5000.0
2011,3,11,271007,1.3,3,1,5000.0
2013,1,17,165181,1.1,2,1,5000.0
2016,3,13,271456,2.5,3,2,10420.31
2002,1,18,26678,2.9,2,2,5000.0
2021,1,18,11310,1.4,2,1,20862.6
2002,2,20,39959,5.0,3,1,25586.98
2010,2,19,164170,4.9,4,2,21340.59
2018,5,5,107548,3.3,2,2,26048.17
2020,4,4,31265,5.3,4,1,27204.22
2021,4,8,286732,5.8,4,1,21642.49
2019,4,6,257029,1.4,4,2,8715.45
2013,3,12,200165,5.9,1,2,18616.69
2019,4,6,250889,2.8,2,1,12056.27
2016,2,1,243952,4.2,3,2,30841.3
2004,5,14,196043,5.5,4,1,18742.17
2018,3,16,131156,2.1,3,1,20729.74
2021,3,16,275125,6.0,3,1,23684.03
2012,5,5,172840,1.8,1,2,20752.18
2007,4,6,200466,4.3,4,2,11910.69
2013,4,8,62774,2.5,2,2,9267.18
2018,1,7,247386,1.4,3,1,6336.42
2002,3,16,193237,2.2,4,1,5000.0
2013,4,8,154546,5.5,4,1,11999.63
2002,5,10,286761,3.6,2,2,5000.0
2005,5,3,156943,4.0,4,2,14514.45
2017,3,13,100255,3.6,1,1,16139.83
2015,5,3,94214,1.2,3,2,27915.99
2005,2,2,251031,3.6,1,2,11376.78
2012,4,6,196642,1.9,2,2,8929.24
2011,5,5,280703,3.2,3,1,10643.03
2016,4,6,46044,4.7,3,1,20163.77
2021,5,10,67139,2.7,4,1,36962.47
2006,4,15,259664,1.7,4,1,5000.0
2004,3,13,187704,4.8,4,1,7932.98
2014,3,16,28551,2.8,4,2,15231.74
2005,4,6,8441,3.9,3,1,15305.59
2015,2,19,196934,1.5,2,2,13733.89
2010,4,6,66297,2.6,1,1,8813.79
2009,3,12,180993,5.8,3,2,15321.08
2000,2,20,124987,5.8,4,1,11021.58
2020,4,4,86374,4.5,3,2,25438.14
2021,5,14,18069,4.6,1,2,42420.18
2016,2,2,43462,4.0,1,1,24520.8
2015,1,18,194578,4.0,1,2,14475.51
2013,1,18,111297,4.1,2,1,12065.49
2001,3,12,287629,5.6,3,1,5000.0
2007,1,9,299424,2.8,4,1,5000.0
2015,3,12,29016,1.2,4,1,18029.99
2000,4,8,46412,4.6,1,1,6941.88
2011,2,2,224239,5.7,1,2,20092.01
2023,1,17,274590,4.0,2,1,16851.3
2009,4,4,43998,5.6,4,2,22423.34
2015,4,15,222604,4.5,2,1,14540.66
2017,1,7,299124,3.7,1,1,9335.87
2015,3,16,22805,5.1,3,2,25659.66
2013,2,1,36201,4.6,1,1,28577.48
2015,3,13,159948,2.3,4,2,17004.94
2015,3,12,45939,4.9,3,1,28252.49
2007,5,5,114032,5.3,1,1,14474.81
2000,5,5,158980,4.7,1,1,11324.61
2004,4,8,153998,3.4,1,1,5000.0
2000,5,5,74036,4.9,1,2,14546.85
2014,3,16,257551,2.8,1,2,7960.23
2006,1,7,62335,4.7,4,1,16718.6
2004,4,6,1167,3.8,3,1,12692.8
2015,2,2,41229,5.8,4,1,35494.55
2016,5,3,223620,4.6,4,2,21832.95
2021,4,15,287070,5.8,2,2,14820.55
2005,2,2,146958,2.9,2,1,8398.05
2010,3,12,138347,5.1,4,2,17167.21
2016,3,11,76009,1.5,2,1,9581.12
2003,2,2,80889,2.0,4,2,14530.75
2009,3,11,240559,6.0,4,2,5996.7
2016,5,14,228285,1.7,4,2,22737.91
2001,4,8,132581,1.5,3,1,5000.0
2000,5,3,40165,3.5,1,2,9264.87
2021,1,9,80051,2.6,2,1,17128.39
2006,1,17,145254,3.3,3,1,8338.62
2021,2,19,232149,5.8,1,2,25136.23
2007,3,13,254661,3.0,1,1,5000.0
2016,1,18,118378,3.4,4,2,23475.22
2008,4,4,293722,4.5,4,2,5234.42
2000,3,16,125400,4.7,2,1,5000.0
2001,3,16,234649,4.1,2,1,5000.0
2016,5,3,87491,1.2,1,2,21389.97
2012,3,16,5926,2.6,2,1,12210.61
2008,5,14,121879,1.7,3,2,21226.9
2013,4,4,38291,2.9,1,1,15619.65
2020,3,16,155913,2.0,4,2,22707.19
2022,4,6,101869,2.0,3,1,20791.45
2002,2,2,34164,5.6,2,2,17350.66
2003,4,6,34433,4.7,3,2,15265.23
2015,1,18,175318,2.1,3,1,11723.37
2015,4,4,60475,5.4,3,1,22368.48
2008,1,9,190234,5.7,2,2,11767.36
2015,5,10,230392,4.0,1,2,22552.79
2004,3,12,132347,4.1,2,1,5344.04
2022,4,6,102241,1.2,2,1,19282.47
2022,4,4,117525,5.3,2,2,26194.71
2021,2,19,262331,5.6,2,2,30131.6
2015,5,5,256545,3.6,4,2,23166.01
2001,5,5,97291,4.0,2,1,15541.13
2019,5,5,130434,3.0,3,1,32480.31
2012,5,5,119642,1.6,4,2,20379.98
2002,4,4,162595,2.6,2,1,5000.0
2022,2,19,152561,3.6,3,1,34143.89
2014,2,2,164390,4.2,2,2,18540.74
2006,1,7,96653,5.9,1,1,5383.08
2019,2,2,250921,1.5,3,1,21823.99
2009,5,5,22669,1.6,2,2,15665.25
2015,4,15,220882,5.9,3,2,24186.58
2015,2,1,165009,2.8,1,1,20391.94
2008,3,11,66583,3.4,2,1,10916.92
2003,2,20,194888,4.6,2,2,14116.82
2012,4,8,147608,3.1,2,2,9745.13
2006,5,3,202196,3.2,3,1,12847.45
2018,4,6,157168,1.1,2,1,12317.06
2007,1,9,97900,2.5,4,1,11077.9
2013,5,3,193615,5.0,1,2,22239.74
2001,2,20,285164,3.8,4,2,5643.31
2004,5,14,194890,2.5,1,1,8736.84
2000,1,18,50285,2.7,3,2,5283.62
2003,2,2,70320,2.1,3,1,13757.72
2007,3,11,70233,1.4,1,1,5000.0
2016,3,11,290573,2.6,3,1,6653.78
2014,4,15,187621,2.7,3,1,8589.78
2013,2,20,183542,4.2,3,2,26789.23
2004,4,4,285055,1.7,2,2,5000.0
2012,4,6,179473,1.8,4,2,10217.86
2002,4,4,75800,1.7,1,2,5000.0
2001,5,10,115802,2.6,2,1,5000.0
2015,1,9,297526,3.0,3,1,5590.41
2021,3,13,171670,4.0,4,2,20225.92
2010,5,14,206231,1.2,3,2,21023.48
2003,2,19,244436,5.4,3,1,13896.61
2003,3,13,104058,2.9,4,2,6180.79
2000,5,14,277556,3.7,1,1,5000.0
2021,5,3,109478,1.7,2,1,26778.76
2005,1,17,279541,3.1,4,1,5000.0
2022,3,12,256373,1.7,2,1,11832.74
2020,4,6,181940,2.4,1,1,13516.03
2019,2,20,94744,1.3,4,2,32677.64
2009,2,20,168329,5.7,2,1,18283.25
2012,4,8,6653,5.9,3,2,30798.74
2004,3,13,6622,2.2,3,2,13501.1
2000,1,7,255225,4.3,4,1,5000.0
2018,2,2,113493,5.9,1,2,28588.03
2011,2,19,114893,5.8,1,1,25067.1
2016,4,8,232526,5.7,3,2,15460.84
2002,5,3,52498,2.9,3,2,21407.54
2015,2,2,81611,5.8,2,1,28344.05
2005,2,19,82024,1.6,3,2,19167.22
2018,5,5,35550,2.4,3,1,34577.83
2021,3,13,292786,2.8,1,1,5568.29
2022,3,16,261189,5.7,4,1,22599.03
2020,2,1,148664,1.2,1,1,20043.23
2020,1,17,251559,4.2,2,1,15408.49
2010,3,12,44885,4.3,4,2,15783.17
2006,2,20,196204,2.3,4,1,14673.55
2017,3,13,255357,5.1,4,1,17068.61
2009,5,5,270706,5.9,1,1,10453.79
2004,1,18,103587,1.9,4,1,5000.0
2018,1,17,243233,4.3,1,2,12365.1
2006,5,14,46101,1.8,2,2,19117.31
2014,2,2,151772,3.2,3,1,29652.28
2014,3,12,71577,1.5,4,2,15655.75
2007,1,9,272083,4.0,3,2,5000.0
2013,5,14,100255,2.5,4,2,29526.67
2007,2,20,73062,2.9,3,1,23382.43
2018,3,12,155634,4.5,4,1,19493.11
2005,5,10,210827,3.7,2,1,10712.87
2000,1,9,29914,5.9,3,1,14653.73
2000,2,20,267005,3.4,3,1,8769.2
2001,1,7,134526,3.7,2,1,5000.0
2003,4,8,82502,1.8,1,2,5000.0
2007,3,16,38836,2.4,3,2,10307.52
2019,4,4,191129,4.8,4,1,14789.31
2003,5,3,163872,5.3,1,2,15445.27
2007,5,5,289675,1.5,2,1,5000.0
2016,5,3,220434,5.7,4,1,29767.7
2019,1,9,257278,3.4,4,2,15883.5
2016,1,18,240950,1.6,1,1,8489.7
2000,2,1,28511,6.0,2,2,19252.74
2008,1,17,18765,4.0,1,1,10598.2
2008,1,9,198727,5.4,2,1,8586.9
2011,5,14,231651,2.5,4,1,11708.92
2020,5,14,197815,3.4,3,2,31623.94
2008,1,7,203589,2.3,3,1,7930.42
2015,2,20,100440,1.7,2,2,18830.82
2003,5,10,199860,4.8,4,1,8003.98
2002,5,3,151916,5.5,2,2,17067.13
2006,4,6,34277,2.2,4,2,6559.17
2009,5,3,220679,1.1,4,2,9945.53
2015,4,15,164328,5.5,2,1,15597.56
2012,4,8,261656,3.1,4,2,11755.8
2003,1,18,34327,2.1,1,1,7140.47
2005,3,13,266018,5.9,3,1,6926.7
2014,1,17,253471,4.3,1,1,5000.0
2015,3,11,182883,1.9,1,1,5000.0
2023,5,3,270932,3.8,3,1,28757.5
2004,1,7,223954,3.8,2,1,5000.0
2007,4,6,170073,4.8,4,2,14335.72
2016,1,9,130266,5.0,1,1,17008.8
2010,4,8,163025,3.7,3,1,12719.39
2000,2,2,205770,3.2,3,2,7682.2
2018,3,13,6059,2.6,1,1,22177.57
2011,3,16,184234,5.5,3,2,12897.25
2004,1,7,237002,1.9,4,2,5000.0
2013,1,9,160003,5.9,4,1,20843.08
2003,5,5,198115,2.1,1,2,10098.52
2014,1,17,41377,5.4,1,2,22564.83
2000,2,19,2865,5.4,4,2,25492.82
2021,5,5,28796,3.2,3,2,37711.92
2013,5,3,208202,4.2,1,2,21581.09
2016,5,3,294302,2.2,3,1,17596.13
2023,5,14,270640,4.4,4,2,28423.95
2018,2,1,180509,3.5,4,2,27295.15
2003,4,6,89868,3.5,4,1,5002.84
2004,3,13,188501,2.4,4,2,5000.0
2012,2,1,224364,2.5,4,2,19175.38
2011,1,9,175403,3.2,1,2,5675.06
2022,4,15,134198,1.4,4,2,23145.07
2021,4,15,107197,4.3,3,2,23478.95
2010,2,2,32925,4.0,3,2,33435.79
2002,1,17,61988,4.9,2,2,10172.46
2003,4,15,128498,5.9,1,2,10965.52
2002,4,15,291660,4.1,3,1,5000.0
2002,3,12,20373,1.5,3,2,8779.54
2017,4,8,163979,2.5,1,2,10192.36
2013,5,14,88254,1.4,3,2,23831.57
2013,4,6,80714,3.8,4,1,21069.64
2011,2,2,54738,3.2,1,1,26201.27
2000,1,7,41343,2.1,3,2,8818.68
2011,5,3,248871,3.0,4,2,12522.37
2014,5,14,232464,4.8,1,1,19733.82
2020,4,8,272213,5.4,1,2,16766.57
2003,3,13,282791,4.6,4,2,5000.0
2012,5,14,255061,4.8,3,2,22358.08
2004,5,14,262907,5.7,1,2,9689.73
2008,1,17,106713,3.8,1,1,7172.74
2023,2,19,159528,2.4,2,1,31337.92
2016,3,11,137796,1.2,3,1,10475.04
2012,1,18,168802,3.4,1,1,10334.7
2010,3,11,77483,3.9,3,2,19624.68
2002,2,20,95823,3.4,4,2,17627.62
2013,1,17,262377,4.6,2,1,10615.96
2016,3,12,109870,5.2,4,2,18506.54
2015,5,10,246229,4.7,1,1,14880.78
2020,3,12,261956,3.9,4,1,19583.83
2019,1,17,33041,1.7,4,1,19221.84
2005,2,2,222951,4.8,1,2,9693.2
2006,5,5,16917,3.3,3,1,20883.18
2020,1,9,99637,1.6,1,2,13138.57
2017,3,12,27955,1.1,1,2,13611.78
2019,3,12,220737,2.2,3,2,15286.49
2016,2,2,130688,4.7,2,1,29880.39
2013,3,16,213418,4.9,4,2,12499.95
2001,4,6,27844,1.5,4,1,5000.0
2007,1,17,38244,4.2,2,1,8698.34
2000,1,7,89739,4.6,3,2,5275.36
2007,3,12,71298,3.5,1,1,12224.46
2010,4,4,82987,2.7,4,2,10399.71
2018,2,2,68188,5.1,2,2,37361.54
2005,4,4,263593,3.9,2,2,5000.0
2015,5,5,166436,5.9,2,1,28995.85
2014,5,14,92319,5.3,1,2,28398.72
2019,1,7,162889,1.1,1,2,15316.46
2009,4,6,281324,4.3,1,2,5000.0
2020,1,18,221650,2.9,4,1,19371.1
2006,3,16,13472,1.4,2,1,8868.14
2006,4,6,273914,1.9,2,2,5000.0
2002,4,15,117236,3.0,1,1,5000.0
2018,3,12,52743,2.0,2,1,16564.64
2011,1,9,299766,1.6,1,2,5000.0
2001,5,10,299863,5.1,2,1,5000.0
2022,1,17,80600,1.5,1,1,19967.92
2020,5,14,39891,5.0,2,2,41695.98
2003,4,8,292883,2.1,1,1,5000.0
2022,3,13,269734,1.7,4,1,9247.51
2010,1,9,266504,1.3,3,2,5000.0
2012,3,12,283904,4.4,2,1,5000.0
2003,2,19,181233,5.6,4,1,13981.29
2000,2,1,42434,3.1,4,2,12871.03
2019,3,12,90992,4.2,4,1,24322.68
2006,5,14,237822,5.0,4,2,17631.5
2023,3,16,89738,4.7,3,1,30640.42
2023,5,14,106744,2.1,1,2,35498.31
2010,2,20,13303,4.1,3,1,30551.81
2021,1,17,153520,3.2,3,1,16726.58
2022,2,2,176691,5.3,2,2,33082.44
2021,5,14,171633,4.8,4,1,35109.02
2013,2,19,217667,5.3,2,1,18362.66
2019,2,2,253909,2.9,1,1,15382.06
2007,3,12,43151,5.8,1,1,17662.3
2014,3,12,152204,5.4,4,1,18720.95
2022,3,13,51807,2.5,1,2,21012.03
2014,3,11,55382,1.9,4,1,13644.83
2016,4,15,113067,3.9,2,1,19298.16
2022,3,11,250972,2.1,1,2,17586.56
2014,2,1,57614,2.8,3,1,31247.98
2009,5,5,12368,5.6,4,1,29788.75
2013,4,8,159714,2.0,2,1,10734.97
2014,4,15,291672,5.5,3,2,16252.9
2015,3,16,261578,2.3,4,1,5000.0
2022,5,3,149936,2.8,4,2,35887.2
2014,4,8,215429,5.9,2,2,16615.07
2007,4,15,40459,2.3,3,1,14701.67
2020,1,7,34242,1.5,1,2,17443.15
